209      0.001
407 5      0.001       0.004 Assignment maxsolar (14)
422 4      0.001       0.004 Assignment dummy (100)
375 10      0.001       0.004 Assignment Solar (1351)
548 8      0.155       0.007 GAMS Fini   
548 9      0.551       0.007 Solve Fini schedule (21325)
509 7      0.001       0.007 Equation   Const_chance_2 (1)
502 6      0.003       0.007 Equation   Const_chance_1 (2400)
496 3      0.006       0.006 Equation   Const1 (2300)
417 1      0.003       0.004 Loop       
494 2      0.009       0.004 Equation   Objective (1)
