209      0.001
408 6      0.001       0.004 Assignment dummysolar (1350)
422 5      0.001       0.004 Assignment dummy (100)
375 10      0.001       0.004 Assignment Solar (1351)
418 9      0.001       0.004 Loop       
548 8      0.153       0.007 GAMS Fini   
548 7      0.521       0.007 Solve Fini schedule (21325)
417 3      0.002       0.004 Loop       
502 1      0.004       0.007 Equation   Const_chance_1 (2400)
496 2      0.006       0.006 Equation   Const1 (2300)
494 4      0.009       0.004 Equation   Objective (1)
