209      0.001
407 6      0.001       0.004 Assignment maxsolar (14)
422 5      0.001       0.004 Assignment dummy (100)
375 10      0.001       0.004 Assignment Solar (1351)
418 8      0.001       0.004 Loop       
548 7      0.178       0.007 GAMS Fini   
548 9      0.480       0.007 Solve Fini schedule (21325)
417 3      0.002       0.004 Loop       
502 1      0.004       0.007 Equation   Const_chance_1 (2400)
496 2      0.002       0.006 Equation   Const1 (2300)
494 4      0.007       0.004 Equation   Objective (1)
